"TOC.x1"	"TOC.x2"	"TOC.mid"	"ASV.dist"
3.122	6.898	5.01	0.924590842731994
0.6647	6.898	3.78135	0.954048797077867
0.3441	6.898	3.62105	0.952919857469204
2.588	6.898	4.743	0.97372357155931
2.542	6.898	4.72	0.978556618329186
3.49	6.898	5.194	0.948715793862336
6.898	7.1105	7.00425	0.941378352030369
6.898	7.0695	6.98375	0.977338490138235
6.576	6.898	6.737	0.899319530180819
6.576	6.898	6.737	0.906942181700341
5.0125	6.898	5.95525	0.933117911665409
6.2165	6.898	6.55725	0.929326545412634
6.898	12.895	9.8965	0.831018716975717
6.3915	6.898	6.64475	0.888350206850207
6.898	6.944	6.921	0.925364144319456
4.395	6.898	5.6465	0.884453263254395
6.652	6.898	6.775	0.954194581030627
6.898	9.613	8.2555	0.947498706853448
6.898	11.175	9.0365	0.956609974050156
4.114	6.898	5.506	0.936240275904596
6.898	7.6885	7.29325	0.920245410643725
6.898	11.81	9.354	0.891286111104386
6.898	8.8315	7.86475	0.925857447502689
6.898	7.514	7.206	0.945215399603773
6.898	11.945	9.4215	0.946854998164285
2.854	6.898	4.876	0.985068115154405
0.954	6.898	3.926	0.927163107108415
6.898	7.619	7.2585	0.980203627511974
3.427	6.898	5.1625	0.891516902037702
4.859	6.898	5.8785	0.917605466046235
6.898	7.6015	7.24975	0.95315289941504
6.898	7.365	7.1315	0.929213219835936
6.525	6.898	6.7115	0.982173262934495
6.898	12.275	9.5865	0.948186302974819
1.3135	6.898	4.10575	0.895405568338277
6.898	9.409	8.1535	0.92723883205238
6.898	7.2185	7.05825	0.88731306314465
6.898	7.5375	7.21775	0.930516322535962
6.898	8.522	7.71	0.92887915978918
6.898	7.441	7.1695	0.944049199489201
4.9925	6.898	5.94525	0.935865340820021
6.836	6.898	6.867	0.933624648319717
5.6115	6.898	6.25475	0.874425108492042
6.898	9.503	8.2005	0.935323801359108
6.898	7.5525	7.22525	0.896874248602214
6.107	6.898	6.5025	0.882618222213592
6.898	7.063	6.9805	0.929249035178576
6.898	12.545	9.7215	0.927611690071113
6.898	10.78	8.839	0.937966259663471
6.898	9.1175	8.00775	0.934940252568157
5.9425	6.898	6.42025	0.923468949328438
5.5715	6.898	6.23475	0.951774102378417
4.514	6.898	5.706	0.938213753328577
5.492	6.898	6.195	0.947493346986968
3.7675	6.898	5.33275	0.944606400305964
6.2985	6.898	6.59825	0.937734757915712
6.898	8.0215	7.45975	0.930860213224192
3.6585	6.898	5.27825	0.927586163060623
2.8325	6.898	4.86525	0.951902961028952
6.898	9.6795	8.28875	0.951495351127251
6.898	7.026	6.962	0.910546813549486
5.8555	6.898	6.37675	0.85858979827383
6.898	7.1735	7.03575	0.867435508450421
6.898	9.1145	8.00625	0.951489551677068
6.6945	6.898	6.79625	0.919520181969732
2.3695	6.898	4.63375	0.942617740283881
3.6215	6.898	5.25975	0.901771843038196
4.0915	6.898	5.49475	0.948878932620674
3.122	6.898	5.01	0.946633541734883
0.6647	6.898	3.78135	0.964138049587588
0.3441	6.898	3.62105	0.965789257220311
2.588	6.898	4.743	0.978320787087224
2.542	6.898	4.72	0.986690434680044
3.49	6.898	5.194	0.957158359218253
6.898	7.1105	7.00425	0.947980144139625
6.898	7.0695	6.98375	0.980805606662761
6.576	6.898	6.737	0.915698235318985
6.576	6.898	6.737	0.927372778913241
5.0125	6.898	5.95525	0.947896233647736
6.2165	6.898	6.55725	0.93034013502398
6.898	12.895	9.8965	0.87586024580753
6.3915	6.898	6.64475	0.944419381680531
4.395	6.944	5.6695	0.927087629330661
6.652	6.944	6.798	0.860692628428333
6.944	9.613	8.2785	0.868603133948186
6.944	11.175	9.0595	0.942916464911157
4.114	6.944	5.529	0.81143194854711
6.944	7.6885	7.31625	0.874385096394686
6.944	11.81	9.377	0.950875611062846
6.944	8.8315	7.88775	0.869505779194206
6.944	7.514	7.229	0.85030427281685
6.944	11.945	9.4445	0.921934852888892
2.854	6.944	4.899	0.947411361616713
0.954	6.944	3.949	0.908518350251467
6.944	7.619	7.2815	0.935224510344694
3.427	6.944	5.1855	0.906996007549585
4.859	6.944	5.9015	0.897346699695819
6.944	7.6015	7.27275	0.916735598276461
6.944	7.365	7.1545	0.868037027681609
6.525	6.944	6.7345	0.9503282656089
6.944	12.275	9.6095	0.881634448245708
1.3135	6.944	4.12875	0.882665838101798
6.944	9.409	8.1765	0.90411350510055
6.944	7.2185	7.08125	0.934741310828882
6.944	7.5375	7.24075	0.904036334329504
6.944	8.522	7.733	0.906582354146977
6.944	7.441	7.1925	0.932677442319951
4.9925	6.944	5.96825	0.890310556578688
6.836	6.944	6.89	0.923389990788282
5.6115	6.944	6.27775	0.912309275040656
6.944	9.503	8.2235	0.899057735649431
6.944	7.5525	7.24825	0.901019459109173
6.107	6.944	6.5255	0.918067082808974
6.944	7.063	7.0035	0.842593271458605
6.944	12.545	9.7445	0.892632386479187
6.944	10.78	8.862	0.883007909822903
6.944	9.1175	8.03075	0.867708298546187
5.9425	6.944	6.44325	0.898228168907559
5.5715	6.944	6.25775	0.88671389791361
4.514	6.944	5.729	0.924186161339748
5.492	6.944	6.218	0.93194422620918
3.7675	6.944	5.35575	0.910850963512065
6.2985	6.944	6.62125	0.91966630055772
6.944	8.0215	7.48275	0.854878742567508
3.6585	6.944	5.30125	0.856522031702497
2.8325	6.944	4.88825	0.868778755916079
6.944	9.6795	8.31175	0.905960616866481
6.944	7.026	6.985	0.869662696507524
5.8555	6.944	6.39975	0.88317247946673
6.944	7.1735	7.05875	0.894355669615312
6.944	9.1145	8.02925	0.901460742771494
6.6945	6.944	6.81925	0.88473211402723
2.3695	6.944	4.65675	0.943382297309881
3.6215	6.944	5.28275	0.892477540032902
4.0915	6.944	5.51775	0.948911049976404
3.122	6.944	5.033	0.928750140563313
0.6647	6.944	3.80435	0.902852083364165
0.3441	6.944	3.64405	0.908210141005803
2.588	6.944	4.766	0.930001871291152
2.542	6.944	4.743	0.953890788963829
3.49	6.944	5.217	0.982532650355673
6.944	7.1105	7.02725	0.946627410210781
6.944	7.0695	7.00675	0.939885263609178
6.576	6.944	6.76	0.931344923107851
6.576	6.944	6.76	0.928827623509082
5.0125	6.944	5.97825	0.911759478782068
6.2165	6.944	6.58025	0.940781999013003
6.944	12.895	9.9195	0.949569627856973
6.3915	6.944	6.66775	0.946029787911043
4.395	6.652	5.5235	0.936635096183456
4.395	9.613	7.004	0.943184419290486
4.395	11.175	7.785	0.93811452957249
4.114	4.395	4.2545	0.943411599299458
4.395	7.6885	6.04175	0.900970116899624
4.395	11.81	8.1025	0.896874982354283
4.395	8.8315	6.61325	0.913968857345101
4.395	7.514	5.9545	0.936751992142725
4.395	11.945	8.17	0.916395717795652
2.854	4.395	3.6245	0.977319851239287
0.954	4.395	2.6745	0.915980411924334
4.395	7.619	6.007	0.959726432866709
3.427	4.395	3.911	0.848373126332534
4.395	4.859	4.627	0.890517599180904
4.395	7.6015	5.99825	0.947704513145046
4.395	7.365	5.88	0.89590237408935
4.395	6.525	5.46	0.984839227939161
4.395	12.275	8.335	0.912766099421749
1.3135	4.395	2.85425	0.87230372983031
4.395	9.409	6.902	0.90550566391122
4.395	7.2185	5.80675	0.876964750411937
4.395	7.5375	5.96625	0.907398270329563
4.395	8.522	6.4585	0.903634502058753
4.395	7.441	5.918	0.920991258181702
4.395	4.9925	4.69375	0.919823715034656
4.395	6.836	5.6155	0.92214357474209
4.395	5.6115	5.00325	0.863946550137319
4.395	9.503	6.949	0.91671933633661
4.395	7.5525	5.97375	0.881728248195927
4.395	6.107	5.251	0.858812222558614
4.395	7.063	5.729	0.910750011415238
4.395	12.545	8.47	0.914776986543144
4.395	10.78	7.5875	0.913823567316029
4.395	9.1175	6.75625	0.918710600129083
4.395	5.9425	5.16875	0.891817198277149
4.395	5.5715	4.98325	0.936252040618301
4.395	4.514	4.4545	0.920620383167081
4.395	5.492	4.9435	0.913739334678245
3.7675	4.395	4.08125	0.919413619867353
4.395	6.2985	5.34675	0.928063089693211
4.395	8.0215	6.20825	0.902120952613027
3.6585	4.395	4.02675	0.894348522545219
2.8325	4.395	3.61375	0.95512986292209
4.395	9.6795	7.03725	0.947746455682766
4.395	7.026	5.7105	0.861582933961487
4.395	5.8555	5.12525	0.854476384025848
4.395	7.1735	5.78425	0.870325081222054
4.395	9.1145	6.75475	0.92614685339124
4.395	6.6945	5.54475	0.908542122758462
2.3695	4.395	3.38225	0.920557112210411
